name,URL
نادي القرن الإفريقي,https://ar.wikipedia.org/wiki/%D9%86%D8%A7%D8%AF%D9%8A_%D8%A7%D9%84%D9%82%D8%B1%D9%86_%D8%A7%D9%84%D8%A5%D9%81%D8%B1%D9%8A%D9%82%D9%8A
عمر لطفي بك,https://ar.wikipedia.org/wiki/%D8%B9%D9%85%D8%B1_%D9%84%D8%B7%D9%81%D9%8A_%D8%A8%D9%83
أمين سامي,https://ar.wikipedia.org/wiki/%D8%A3%D9%85%D9%8A%D9%86_%D8%B3%D8%A7%D9%85%D9%8A
إدريس بك راغب,https://ar.wikipedia.org/wiki/%D8%A5%D8%AF%D8%B1%D9%8A%D8%B3_%D8%A8%D9%83_%D8%B1%D8%A7%D8%BA%D8%A8
متشيل أنس,https://ar.wikipedia.org/wiki/%D9%85%D8%AA%D8%B4%D9%8A%D9%84_%D8%A3%D9%86%D8%B3
24 أبريل,https://ar.wikipedia.org/wiki/24_%D8%A3%D8%A8%D8%B1%D9%8A%D9%84
1907,https://ar.wikipedia.org/wiki/1907
ستاد السلام (مصر),https://ar.wikipedia.org/wiki/%D8%B3%D8%AA%D8%A7%D8%AF_%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D9%85_(%D9%85%D8%B5%D8%B1)
القاهرة,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%82%D8%A7%D9%87%D8%B1%D8%A9
مصر,https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1
الدوري المصري الممتاز,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AF%D9%88%D8%B1%D9%8A_%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A_%D8%A7%D9%84%D9%85%D9%85%D8%AA%D8%A7%D8%B2
الدوري المصري الممتاز 2022–23,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AF%D9%88%D8%B1%D9%8A_%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A_%D8%A7%D9%84%D9%85%D9%85%D8%AA%D8%A7%D8%B2_2022%E2%80%9323
ألتراس أهلاوي,https://ar.wikipedia.org/wiki/%D8%A3%D9%84%D8%AA%D8%B1%D8%A7%D8%B3_%D8%A3%D9%87%D9%84%D8%A7%D9%88%D9%8A
محمود الخطيب,https://ar.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D9%88%D8%AF_%D8%A7%D9%84%D8%AE%D8%B7%D9%8A%D8%A8
سويسرا,https://ar.wikipedia.org/wiki/%D8%B3%D9%88%D9%8A%D8%B3%D8%B1%D8%A7
مارسيل كولر,https://ar.wikipedia.org/wiki/%D9%85%D8%A7%D8%B1%D8%B3%D9%8A%D9%84_%D9%83%D9%88%D9%84%D8%B1
17 نوفمبر,https://ar.wikipedia.org/wiki/17_%D9%86%D9%88%D9%81%D9%85%D8%A8%D8%B1
1931,https://ar.wikipedia.org/wiki/1931
نادي الزمالك,https://ar.wikipedia.org/wiki/%D9%86%D8%A7%D8%AF%D9%8A_%D8%A7%D9%84%D8%B2%D9%85%D8%A7%D9%84%D9%83
2 يناير,https://ar.wikipedia.org/wiki/2_%D9%8A%D9%86%D8%A7%D9%8A%D8%B1
1942,https://ar.wikipedia.org/wiki/1942
2 يونيو,https://ar.wikipedia.org/wiki/2_%D9%8A%D9%88%D9%86%D9%8A%D9%88
1944,https://ar.wikipedia.org/wiki/1944
حسام عاشور,https://ar.wikipedia.org/wiki/%D8%AD%D8%B3%D8%A7%D9%85_%D8%B9%D8%A7%D8%B4%D9%88%D8%B1
كأس مصر,https://ar.wikipedia.org/wiki/%D9%83%D8%A3%D8%B3_%D9%85%D8%B5%D8%B1
كأس السوبر المصري,https://ar.wikipedia.org/wiki/%D9%83%D8%A3%D8%B3_%D8%A7%D9%84%D8%B3%D9%88%D8%A8%D8%B1_%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A
دوري منطقة القاهرة,https://ar.wikipedia.org/wiki/%D8%AF%D9%88%D8%B1%D9%8A_%D9%85%D9%86%D8%B7%D9%82%D8%A9_%D8%A7%D9%84%D9%82%D8%A7%D9%87%D8%B1%D8%A9
الكأس السلطانية,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%83%D8%A3%D8%B3_%D8%A7%D9%84%D8%B3%D9%84%D8%B7%D8%A7%D9%86%D9%8A%D8%A9
كأس الجمهورية العربية المتحدة,https://ar.wikipedia.org/wiki/%D9%83%D8%A3%D8%B3_%D8%A7%D9%84%D8%AC%D9%85%D9%87%D9%88%D8%B1%D9%8A%D8%A9_%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9_%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%A9
دوري أبطال إفريقيا,https://ar.wikipedia.org/wiki/%D8%AF%D9%88%D8%B1%D9%8A_%D8%A3%D8%A8%D8%B7%D8%A7%D9%84_%D8%A5%D9%81%D8%B1%D9%8A%D9%82%D9%8A%D8%A7
كأس الكونفيدرالية الإفريقية,https://ar.wikipedia.org/wiki/%D9%83%D8%A3%D8%B3_%D8%A7%D9%84%D9%83%D9%88%D9%86%D9%81%D9%8A%D8%AF%D8%B1%D8%A7%D9%84%D9%8A%D8%A9_%D8%A7%D9%84%D8%A5%D9%81%D8%B1%D9%8A%D9%82%D9%8A%D8%A9
كأس الكؤوس الإفريقية,https://ar.wikipedia.org/wiki/%D9%83%D8%A3%D8%B3_%D8%A7%D9%84%D9%83%D8%A4%D9%88%D8%B3_%D8%A7%D9%84%D8%A5%D9%81%D8%B1%D9%8A%D9%82%D9%8A%D8%A9
كأس السوبر الإفريقي,https://ar.wikipedia.org/wiki/%D9%83%D8%A3%D8%B3_%D8%A7%D9%84%D8%B3%D9%88%D8%A8%D8%B1_%D8%A7%D9%84%D8%A5%D9%81%D8%B1%D9%8A%D9%82%D9%8A
الكأس الأفروآسيوية للأندية,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%83%D8%A3%D8%B3_%D8%A7%D9%84%D8%A3%D9%81%D8%B1%D9%88%D8%A2%D8%B3%D9%8A%D9%88%D9%8A%D8%A9_%D9%84%D9%84%D8%A3%D9%86%D8%AF%D9%8A%D8%A9
كأس العرب للأندية الأبطال,https://ar.wikipedia.org/wiki/%D9%83%D8%A3%D8%B3_%D8%A7%D9%84%D8%B9%D8%B1%D8%A8_%D9%84%D9%84%D8%A3%D9%86%D8%AF%D9%8A%D8%A9_%D8%A7%D9%84%D8%A3%D8%A8%D8%B7%D8%A7%D9%84
البطولة العربية للأندية الفائزة بالكؤوس,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A8%D8%B7%D9%88%D9%84%D8%A9_%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9_%D9%84%D9%84%D8%A3%D9%86%D8%AF%D9%8A%D8%A9_%D8%A7%D9%84%D9%81%D8%A7%D8%A6%D8%B2%D8%A9_%D8%A8%D8%A7%D9%84%D9%83%D8%A4%D9%88%D8%B3
كأس السوبر العربي,https://ar.wikipedia.org/wiki/%D9%83%D8%A3%D8%B3_%D8%A7%D9%84%D8%B3%D9%88%D8%A8%D8%B1_%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A
النادي الأهلي المصري موسم 2023–24,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%86%D8%A7%D8%AF%D9%8A_%D8%A7%D9%84%D8%A3%D9%87%D9%84%D9%8A_%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A_%D9%85%D9%88%D8%B3%D9%85_2023%E2%80%9324
طالع توثيق القالب,https://ar.wikipedia.org//ar.wikipedia.org/wiki/%D9%82%D8%A7%D9%84%D8%A8:%D8%B5%D9%86%D8%AF%D9%88%D9%82_%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA_%D9%86%D8%A7%D8%AF%D9%8A_%D9%83%D8%B1%D8%A9_%D9%82%D8%AF%D9%85
النادي الأهلي (مصر),https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%86%D8%A7%D8%AF%D9%8A_%D8%A7%D9%84%D8%A3%D9%87%D9%84%D9%8A_(%D9%85%D8%B5%D8%B1)
النادي الأهلي للكرة الطائرة (مصر),https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%86%D8%A7%D8%AF%D9%8A_%D8%A7%D9%84%D8%A3%D9%87%D9%84%D9%8A_%D9%84%D9%84%D9%83%D8%B1%D8%A9_%D8%A7%D9%84%D8%B7%D8%A7%D8%A6%D8%B1%D8%A9_(%D9%85%D8%B5%D8%B1)
النادي الأهلي للكرة الطائرة للسيدات,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%86%D8%A7%D8%AF%D9%8A_%D8%A7%D9%84%D8%A3%D9%87%D9%84%D9%8A_%D9%84%D9%84%D9%83%D8%B1%D8%A9_%D8%A7%D9%84%D8%B7%D8%A7%D8%A6%D8%B1%D8%A9_%D9%84%D9%84%D8%B3%D9%8A%D8%AF%D8%A7%D8%AA
